id,player_id,first_name,last_name,position,height_feet,height_inches,height_total_inches,weight_pounds,jersey_number,college,country,draft_year,draft_round,draft_number,team_id
914,189,Blake,Griffin,F,6.0,9.0,81.0,,,,,,,,2
919,194,Montrezl,Harrell,F-C,6.0,7.0,79.0,,,,,,,,23
920,195,Devin,Harris,G,6.0,3.0,75.0,,,,,,,,7
921,196,Gary,Harris,G,6.0,4.0,76.0,,,,,,,,22
928,203,Udonis,Haslem,F,6.0,7.0,79.0,,,,,,,,16
929,204,Gordon,Hayward,F,6.0,7.0,79.0,,,,,,,,21
930,205,John,Henson,F,6.0,9.0,81.0,,,,,,,,17
931,206,Juancho,Hernangomez,F,6.0,9.0,81.0,,,,,,,,28
932,207,Willy,Hernangomez,C,6.0,11.0,83.0,,,,,,,,19
933,208,Mario,Hezonja,F,6.0,8.0,80.0,,,,,,,,22
934,209,Isaiah,Hicks,F,6.0,9.0,81.0,,,,,,,,20
935,210,Buddy,Hield,G,6.0,4.0,76.0,,,,,,,,10
936,211,George,Hill,G,6.0,4.0,76.0,,,,,,,,12
937,212,Solomon,Hill,F,6.0,6.0,78.0,,,,,,,,1
938,213,Aaron,Holiday,G,6.0,0.0,72.0,,,,,,,,11
939,214,Jrue,Holiday,G,6.0,4.0,76.0,,,,,,,,2
940,215,Justin,Holiday,F-G,6.0,6.0,78.0,,,,,,,,8
941,216,Rondae,Hollis-Jefferson,F,6.0,6.0,78.0,,,,,,,,3
942,217,Richaun,Holmes,F-C,6.0,9.0,81.0,,,,,,,,30
943,218,Rodney,Hood,G,6.0,8.0,80.0,,,,,,,,13
944,219,Al,Horford,C-F,6.0,9.0,81.0,,,,,,,,2
945,220,Dwight,Howard,C,6.0,10.0,82.0,,,,,,,,14
946,221,Kevin,Huerter,G,6.0,7.0,79.0,,,,,,,,5
947,222,Chandler,Hutchison,F,6.0,6.0,78.0,,,,,,,,24
948,223,Serge,Ibaka,F-C,6.0,10.0,82.0,,,,,,,,17
949,224,Andre,Iguodala,G-F,6.0,6.0,78.0,,,,,,,,10
950,225,Ersan,Ilyasova,F,6.0,9.0,81.0,,,,,,,,17
951,226,Joe,Ingles,F,6.0,8.0,80.0,,,,,,,,18
952,227,Brandon,Ingram,F,6.0,8.0,80.0,,,,,,,,28
953,228,Kyrie,Irving,G,6.0,2.0,74.0,,,,,,,,7
954,229,Jonathan,Isaac,F,6.0,10.0,82.0,,,,,,,,22
955,230,Wes,Iwundu,F,6.0,6.0,78.0,,,,,,,,25
956,231,Jaren,Jackson Jr.,F-C,6.0,10.0,82.0,,,,,,,,15
957,232,Demetrius,Jackson,G,6.0,1.0,73.0,,,,,,,,11
958,233,Frank,Jackson,G,6.0,3.0,75.0,,,,,,,,29
959,234,Josh,Jackson,F,6.0,8.0,80.0,,,,,,,,28
960,235,Justin,Jackson,F,6.0,8.0,80.0,,,,,,,,18
961,236,Reggie,Jackson,G,6.0,2.0,74.0,,,,,,,,23
962,237,LeBron,James,F,6.0,9.0,81.0,,,,,,,,14
963,238,Amile,Jefferson,F,6.0,9.0,81.0,,,,,,,,22
964,239,Jonas,Jerebko,F,6.0,10.0,82.0,,,,,,,,9
965,240,Alize,Johnson,F,6.0,7.0,79.0,,,,,,,,27
966,241,Amir,Johnson,C-F,6.0,9.0,81.0,,,,,,,,28
