team_id,team_name,season,games_played,wins,points_scored_total,points_allowed_total,point_diff_total,point_diff_avg,home_games,home_wins,losses,win_pct,points_per_game,points_allowed_per_game,away_games,away_wins,home_win_pct,away_win_pct
4,Charlotte Hornets,2024-2025,76,18,7934,8587,-653,-8.592105263157896,38,11,58,0.23684210526315788,104.39473684210526,112.98684210526316,38,7,0.2894736842105263,0.18421052631578946
5,Chicago Bulls,2020-2021,66,28,7312,7375,-63,-0.9545454545454546,33,14,38,0.42424242424242425,110.78787878787878,111.74242424242425,33,14,0.42424242424242425,0.42424242424242425
5,Chicago Bulls,2021-2022,79,42,8761,8841,-80,-1.0126582278481013,41,25,37,0.5316455696202531,110.89873417721519,111.9113924050633,38,17,0.6097560975609756,0.4473684210526316
5,Chicago Bulls,2022-2023,79,39,8865,8772,93,1.1772151898734178,40,22,40,0.4936708860759494,112.21518987341773,111.0379746835443,39,17,0.55,0.4358974358974359
5,Chicago Bulls,2023-2024,38,18,4183,4233,-50,-1.3157894736842106,22,13,20,0.47368421052631576,110.07894736842105,111.39473684210526,16,5,0.5909090909090909,0.3125
5,Chicago Bulls,2024-2025,77,36,8960,9120,-160,-2.0779220779220777,38,16,41,0.4675324675324675,116.36363636363636,118.44155844155844,39,20,0.42105263157894735,0.5128205128205128
6,Cleveland Cavaliers,2020-2021,69,22,7173,7723,-550,-7.971014492753623,34,13,47,0.3188405797101449,103.95652173913044,111.92753623188406,35,9,0.38235294117647056,0.2571428571428571
6,Cleveland Cavaliers,2021-2022,75,40,8021,7868,153,2.04,38,23,35,0.5333333333333333,106.94666666666667,104.90666666666667,37,17,0.6052631578947368,0.4594594594594595
6,Cleveland Cavaliers,2022-2023,81,48,8980,8614,366,4.518518518518518,39,28,33,0.5925925925925926,110.8641975308642,106.34567901234568,42,20,0.717948717948718,0.47619047619047616
6,Cleveland Cavaliers,2023-2024,37,22,4188,4117,71,1.9189189189189189,21,13,15,0.5945945945945946,113.1891891891892,111.27027027027027,16,9,0.6190476190476191,0.5625
6,Cleveland Cavaliers,2024-2025,80,61,9520,8761,759,9.4875,39,32,19,0.7625,119.0,109.5125,41,29,0.8205128205128205,0.7073170731707317
7,Dallas Mavericks,2020-2021,75,42,8408,8272,136,1.8133333333333332,36,19,33,0.56,112.10666666666667,110.29333333333334,39,23,0.5277777777777778,0.5897435897435898
7,Dallas Mavericks,2021-2022,92,56,9853,9625,228,2.4782608695652173,46,33,36,0.6086956521739131,107.09782608695652,104.6195652173913,46,23,0.717391304347826,0.5
7,Dallas Mavericks,2022-2023,75,35,8535,8541,-6,-0.08,38,21,40,0.4666666666666667,113.8,113.88,37,14,0.5526315789473685,0.3783783783783784
7,Dallas Mavericks,2023-2024,36,20,4237,4229,8,0.2222222222222222,17,9,16,0.5555555555555556,117.69444444444444,117.47222222222223,19,11,0.5294117647058824,0.5789473684210527
7,Dallas Mavericks,2024-2025,75,35,8466,8506,-40,-0.5333333333333333,38,20,40,0.4666666666666667,112.88,113.41333333333333,37,15,0.5263157894736842,0.40540540540540543
8,Denver Nuggets,2020-2021,78,48,8974,8690,284,3.641025641025641,39,26,30,0.6153846153846154,115.05128205128206,111.41025641025641,39,22,0.6666666666666666,0.5641025641025641
8,Denver Nuggets,2021-2022,80,47,8991,8806,185,2.3125,39,23,33,0.5875,112.3875,110.075,41,24,0.5897435897435898,0.5853658536585366
8,Denver Nuggets,2022-2023,98,65,11293,10872,421,4.295918367346939,48,40,33,0.6632653061224489,115.23469387755102,110.93877551020408,50,25,0.8333333333333334,0.5
8,Denver Nuggets,2023-2024,35,22,4040,3892,148,4.228571428571429,16,12,13,0.6285714285714286,115.42857142857143,111.2,19,10,0.75,0.5263157894736842
8,Denver Nuggets,2024-2025,76,46,9107,8809,298,3.9210526315789473,40,25,30,0.6052631578947368,119.82894736842105,115.90789473684211,36,21,0.625,0.5833333333333334
9,Detroit Pistons,2020-2021,67,19,7182,7467,-285,-4.253731343283582,33,12,48,0.2835820895522388,107.19402985074628,111.44776119402985,34,7,0.36363636363636365,0.20588235294117646
9,Detroit Pistons,2021-2022,76,22,7986,8569,-583,-7.671052631578948,36,12,54,0.2894736842105263,105.07894736842105,112.75,40,10,0.3333333333333333,0.25
9,Detroit Pistons,2022-2023,75,17,8325,8865,-540,-7.2,39,9,58,0.22666666666666666,111.0,118.2,36,8,0.23076923076923078,0.2222222222222222
9,Detroit Pistons,2023-2024,36,3,3993,4413,-420,-11.666666666666666,18,2,33,0.08333333333333333,110.91666666666667,122.58333333333333,18,1,0.1111111111111111,0.05555555555555555
9,Detroit Pistons,2024-2025,75,40,8549,8413,136,1.8133333333333332,39,20,35,0.5333333333333333,113.98666666666666,112.17333333333333,36,20,0.5128205128205128,0.5555555555555556
10,Golden State Warriors,2020-2021,72,39,8195,8111,84,1.1666666666666667,36,25,33,0.5416666666666666,113.81944444444444,112.65277777777777,36,14,0.6944444444444444,0.3888888888888889
10,Golden State Warriors,2021-2022,101,68,11223,10630,593,5.871287128712871,51,40,33,0.6732673267326733,111.11881188118812,105.24752475247524,50,28,0.7843137254901961,0.56
10,Golden State Warriors,2022-2023,84,48,9956,9744,212,2.5238095238095237,43,35,36,0.5714285714285714,118.52380952380952,116.0,41,13,0.813953488372093,0.3170731707317073
10,Golden State Warriors,2023-2024,35,16,4082,4104,-22,-0.6285714285714286,21,11,19,0.45714285714285713,116.62857142857143,117.25714285714285,14,5,0.5238095238095238,0.35714285714285715
10,Golden State Warriors,2024-2025,77,44,8558,8278,280,3.6363636363636362,38,21,33,0.5714285714285714,111.14285714285714,107.50649350649351,39,23,0.5526315789473685,0.5897435897435898
11,Houston Rockets,2020-2021,65,16,7079,7587,-508,-7.815384615384615,32,8,49,0.24615384615384617,108.9076923076923,116.72307692307692,33,8,0.25,0.24242424242424243
11,Houston Rockets,2021-2022,76,17,8341,9014,-673,-8.855263157894736,39,10,59,0.2236842105263158,109.75,118.60526315789474,37,7,0.2564102564102564,0.1891891891891892
11,Houston Rockets,2022-2023,78,20,8635,9250,-615,-7.884615384615385,38,12,58,0.2564102564102564,110.7051282051282,118.58974358974359,40,8,0.3157894736842105,0.2
11,Houston Rockets,2023-2024,33,17,3721,3640,81,2.4545454545454546,20,15,16,0.5151515151515151,112.75757575757575,110.3030303030303,13,2,0.75,0.15384615384615385
11,Houston Rockets,2024-2025,76,48,8591,8206,385,5.065789473684211,36,26,28,0.631578947368421,113.03947368421052,107.97368421052632,40,22,0.7222222222222222,0.55
12,Indiana Pacers,2020-2021,68,33,7911,7886,25,0.36764705882352944,33,13,35,0.4852941176470588,116.33823529411765,115.97058823529412,35,20,0.3939393939393939,0.5714285714285714
12,Indiana Pacers,2021-2022,75,23,8312,8570,-258,-3.44,37,14,52,0.30666666666666664,110.82666666666667,114.26666666666667,38,9,0.3783783783783784,0.23684210526315788
12,Indiana Pacers,2022-2023,75,30,8726,9018,-292,-3.8933333333333335,38,17,45,0.4,116.34666666666666,120.24,37,13,0.4473684210526316,0.35135135135135137
12,Indiana Pacers,2023-2024,35,20,4389,4310,79,2.257142857142857,20,13,15,0.5714285714285714,125.4,123.14285714285714,15,7,0.65,0.4666666666666667
12,Indiana Pacers,2024-2025,75,44,8525,8353,172,2.2933333333333334,35,24,31,0.5866666666666667,113.66666666666667,111.37333333333333,40,20,0.6857142857142857,0.5
13,LA Clippers,2020-2021,86,53,9784,9322,462,5.372093023255814,46,31,33,0.6162790697674418,113.76744186046511,108.3953488372093,40,22,0.6739130434782609,0.55
13,LA Clippers,2021-2022,72,39,7829,7744,85,1.1805555555555556,39,24,33,0.5416666666666666,108.73611111111111,107.55555555555556,33,15,0.6153846153846154,0.45454545454545453
13,LA Clippers,2022-2023,85,45,9691,9651,40,0.47058823529411764,43,23,40,0.5294117647058824,114.01176470588236,113.54117647058824,42,22,0.5348837209302325,0.5238095238095238
13,LA Clippers,2023-2024,34,22,3986,3795,191,5.617647058823529,18,14,12,0.6470588235294118,117.23529411764706,111.61764705882354,16,8,0.7777777777777778,0.5
13,LA Clippers,2024-2025,78,48,8590,8168,422,5.410256410256411,39,30,30,0.6153846153846154,110.12820512820512,104.71794871794872,39,18,0.7692307692307693,0.46153846153846156
14,Los Angeles Lakers,2020-2021,77,44,8371,8199,172,2.2337662337662336,40,23,33,0.5714285714285714,108.71428571428571,106.48051948051948,37,21,0.575,0.5675675675675675
14,Los Angeles Lakers,2021-2022,79,28,8703,9077,-374,-4.734177215189874,41,19,51,0.35443037974683544,110.16455696202532,114.89873417721519,38,9,0.4634146341463415,0.23684210526315788
14,Los Angeles Lakers,2022-2023,90,47,10444,10394,50,0.5555555555555556,44,26,43,0.5222222222222223,116.04444444444445,115.4888888888889,46,21,0.5909090909090909,0.45652173913043476
14,Los Angeles Lakers,2023-2024,39,20,4448,4479,-31,-0.7948717948717948,21,14,19,0.5128205128205128,114.05128205128206,114.84615384615384,18,6,0.6666666666666666,0.3333333333333333
14,Los Angeles Lakers,2024-2025,79,47,8718,8649,69,0.8734177215189873,40,30,32,0.5949367088607594,110.35443037974683,109.48101265822785,39,17,0.75,0.4358974358974359
15,Memphis Grizzlies,2020-2021,76,41,8633,8550,83,1.0921052631578947,37,19,35,0.5394736842105263,113.59210526315789,112.5,39,22,0.5135135135135135,0.5641025641025641
15,Memphis Grizzlies,2021-2022,89,60,10292,9743,549,6.168539325842697,45,33,29,0.6741573033707865,115.64044943820225,109.47191011235955,44,27,0.7333333333333333,0.6136363636363636
15,Memphis Grizzlies,2022-2023,84,51,9779,9498,281,3.3452380952380953,43,36,33,0.6071428571428571,116.41666666666667,113.07142857142857,41,15,0.8372093023255814,0.36585365853658536
15,Memphis Grizzlies,2023-2024,34,13,3687,3854,-167,-4.911764705882353,15,3,21,0.38235294117647056,108.44117647058823,113.3529411764706,19,10,0.2,0.5263157894736842
15,Memphis Grizzlies,2024-2025,77,46,9257,8901,356,4.623376623376624,37,24,31,0.5974025974025974,120.22077922077922,115.59740259740259,40,22,0.6486486486486487,0.55
16,Miami Heat,2020-2021,68,36,7331,7404,-73,-1.0735294117647058,36,19,32,0.5294117647058824,107.80882352941177,108.88235294117646,32,17,0.5277777777777778,0.53125
16,Miami Heat,2021-2022,90,57,9804,9382,422,4.688888888888889,46,31,33,0.6333333333333333,108.93333333333334,104.24444444444444,44,26,0.6739130434782609,0.5909090909090909
16,Miami Heat,2022-2023,101,56,11045,11019,26,0.25742574257425743,50,33,45,0.5544554455445545,109.35643564356435,109.0990099009901,51,23,0.66,0.45098039215686275
