team_id,team_name,season,games_played,wins,points_scored_total,points_allowed_total,point_diff_total,point_diff_avg,home_games,home_wins,losses,win_pct,points_per_game,points_allowed_per_game,away_games,away_wins,home_win_pct,away_win_pct,offensive_rating,defensive_rating,net_rating,win_pct_rank,offensive_rank,defensive_rank,point_diff_rank,win_pct_z,points_per_game_z,points_allowed_per_game_z,point_diff_avg_z
3,Brooklyn Nets,2020-2021,79,51,9304,8928,376,4.7594936708860756,38,29,28,0.6455696202531646,117.77215189873418,113.0126582278481,41,22,0.7631578947368421,0.5365853658536586,117.77215189873418,113.01265822784812,4.759493670886059,4.0,1.0,21.0,5.0,1.240969318559871,1.5360077733057553,0.2531754145675067,1.1155199428693858
3,Brooklyn Nets,2021-2022,79,41,8935,8869,66,0.8354430379746836,40,19,38,0.5189873417721519,113.10126582278481,112.26582278481013,39,22,0.475,0.5641025641025641,113.10126582278481,112.26582278481014,0.8354430379746702,16.0,6.0,21.0,15.0,0.20390496666041255,0.9728973183346526,0.5085467799492941,0.2429030806257164
3,Brooklyn Nets,2022-2023,81,42,9111,9078,33,0.4074074074074074,41,22,39,0.5185185185185185,112.48148148148148,112.07407407407408,40,20,0.5365853658536586,0.5,112.48148148148148,112.07407407407408,0.4074074074074048,14.0,23.0,10.0,16.0,0.21933859756846927,-0.6827352312869142,-0.6474981628601539,0.15750895859367747
3,Brooklyn Nets,2023-2024,38,16,4354,4424,-70,-1.8421052631578947,19,10,22,0.42105263157894735,114.57894736842105,116.42105263157895,19,6,0.5263157894736842,0.3157894736842105,114.57894736842105,116.42105263157895,-1.8421052631578902,22.0,18.0,18.0,22.0,-0.44519972623656734,-0.20560843686220573,0.18835258152371054,-0.306377275969863
3,Brooklyn Nets,2024-2025,74,22,7696,8247,-551,-7.445945945945946,38,12,52,0.2972972972972973,104.0,111.44594594594595,36,10,0.3157894736842105,0.2777777777777778,104.0,111.44594594594595,-7.445945945945951,25.0,29.0,14.0,26.0,-1.2015245826839238,-1.7044265598399533,-0.08141841988110461,-1.2683736467983378
4,Charlotte Hornets,2020-2021,66,31,7246,7358,-112,-1.696969696969697,34,16,35,0.4696969696969697,109.78787878787878,111.48484848484848,32,15,0.47058823529411764,0.46875,109.78787878787878,111.48484848484848,-1.6969696969697026,17.5,22.0,12.0,22.0,-0.16821922586800478,-0.5392704094453946,-0.20373832228601677,-0.3070283712462623
4,Charlotte Hornets,2021-2022,76,39,8692,8711,-19,-0.25,40,22,37,0.5131578947368421,114.36842105263158,114.61842105263158,36,17,0.55,0.4722222222222222,114.36842105263159,114.61842105263159,-0.25,17.0,3.0,26.0,19.0,0.161613299574579,1.3680917767442586,1.118592607403396,0.015285005569956265
4,Charlotte Hornets,2022-2023,79,26,8769,9269,-500,-6.329113924050633,39,13,53,0.3291139240506329,111.0,117.32911392405063,40,13,0.3333333333333333,0.325,111.0,117.32911392405063,-6.329113924050631,27.0,25.5,22.0,27.0,-1.41779301156785,-1.2494101938387934,0.778325437978881,-1.606437099819595
4,Charlotte Hornets,2023-2024,30,7,3300,3624,-324,-10.8,16,4,23,0.23333333333333334,110.0,120.8,14,3,0.25,0.21428571428571427,110.0,120.8,-10.799999999999997,27.0,28.0,25.0,28.0,-1.5324385947362442,-1.2507070483021172,1.128047993960994,-1.84947715178697
4,Charlotte Hornets,2024-2025,76,18,7934,8587,-653,-8.592105263157896,38,11,58,0.23684210526315788,104.39473684210526,112.98684210526316,38,7,0.2894736842105263,0.18421052631578946,104.39473684210526,112.98684210526316,-8.592105263157904,28.0,28.0,19.0,27.0,-1.5775200712832453,-1.617917317788524,0.28821244879776603,-1.4638293028744163
5,Chicago Bulls,2020-2021,66,28,7312,7375,-63,-0.9545454545454546,33,14,38,0.42424242424242425,110.78787878787878,111.74242424242425,33,14,0.42424242424242425,0.42424242424242425,110.78787878787878,111.74242424242424,-0.9545454545454533,23.0,21.0,13.0,20.0,-0.5324260797713927,-0.2793496685166297,-0.12670654365253733,-0.14345052773563746
5,Chicago Bulls,2021-2022,79,42,8761,8841,-80,-1.0126582278481013,41,25,37,0.5316455696202531,110.89873417721519,111.9113924050633,38,17,0.6097560975609756,0.4473684210526316,110.89873417721519,111.91139240506328,-1.0126582278480925,15.0,12.0,19.0,21.0,0.2957383009039373,0.28598202942710155,0.41664040679373215,-0.14464489556251658
5,Chicago Bulls,2022-2023,79,39,8865,8772,93,1.1772151898734178,40,22,40,0.4936708860759494,112.21518987341773,111.0379746835443,39,17,0.55,0.4358974358974359,112.21518987341773,111.0379746835443,1.1772151898734222,18.0,24.0,6.0,13.0,0.004566381518407983,-0.7845932625304138,-0.928617812949749,0.359081749178589
5,Chicago Bulls,2023-2024,38,18,4183,4233,-50,-1.3157894736842106,22,13,20,0.47368421052631576,110.07894736842105,111.39473684210526,16,5,0.5909090909090909,0.3125,110.07894736842105,111.39473684210526,-1.3157894736842053,20.0,27.0,5.0,21.0,-0.14036639861983552,-1.2326881067255664,-0.8902641478964888,-0.21571335847179565
5,Chicago Bulls,2024-2025,77,36,8960,9120,-160,-2.0779220779220777,38,16,41,0.4675324675324675,116.36363636363636,118.44155844155844,39,20,0.42105263157894735,0.5128205128205128,116.36363636363636,118.44155844155844,-2.077922077922082,17.0,6.0,29.0,20.0,-0.14276264916436895,1.0051477608981665,1.5966922743786554,-0.3529593486282757
6,Cleveland Cavaliers,2020-2021,69,22,7173,7723,-550,-7.971014492753623,34,13,47,0.3188405797101449,103.95652173913044,111.92753623188406,35,9,0.38235294117647056,0.2571428571428571,103.95652173913044,111.92753623188406,-7.971014492753625,26.0,29.0,14.0,28.0,-1.3769637120111329,-2.0549610541762404,-0.07134610939165043,-1.6893845217300163
6,Cleveland Cavaliers,2021-2022,75,40,8021,7868,153,2.04,38,23,35,0.5333333333333333,106.94666666666667,104.90666666666667,37,17,0.6052631578947368,0.4594594594594595,106.94666666666667,104.90666666666667,2.0400000000000063,14.0,25.0,4.0,11.0,0.307982745469741,-0.9465703387766674,-1.3997358813373846,0.49549941907826606
6,Cleveland Cavaliers,2022-2023,81,48,8980,8614,366,4.518518518518518,39,28,33,0.5925925925925926,110.8641975308642,106.34567901234568,42,20,0.717948717948718,0.47619047619047616,110.8641975308642,106.34567901234568,4.518518518518519,6.0,28.0,1.0,2.0,0.8596029397554457,-1.3013553987393802,-2.201754858740122,1.2339960478988472
6,Cleveland Cavaliers,2023-2024,37,22,4188,4117,71,1.9189189189189189,21,13,15,0.5945945945945946,113.1891891891892,111.27027027027027,16,9,0.6190476190476191,0.5625,113.18918918918921,111.27027027027026,1.9189189189189477,9.5,22.0,4.0,12.0,0.5599263810402245,-0.522806741732287,-0.9169739154992234,0.3415021777190293
6,Cleveland Cavaliers,2024-2025,80,61,9520,8761,759,9.4875,39,32,19,0.7625,119.0,109.5125,41,29,0.8205128205128205,0.7073170731707317,119.0,109.5125,9.487499999999997,2.0,3.0,10.0,3.0,1.6917607020878516,1.5829246381143844,-0.545214309190294,1.619303255785037
7,Dallas Mavericks,2020-2021,75,42,8408,8272,136,1.8133333333333332,36,19,33,0.56,112.10666666666667,110.29333333333334,39,23,0.5277777777777778,0.5897435897435898,112.10666666666665,110.29333333333334,1.8133333333333184,10.0,18.0,8.0,11.0,0.5553383905533925,0.06343065406579222,-0.5600782676822892,0.46639437945866746
7,Dallas Mavericks,2021-2022,92,56,9853,9625,228,2.4782608695652173,46,33,36,0.6086956521739131,107.09782608695652,104.6195652173913,46,23,0.717391304347826,0.5,107.09782608695652,104.6195652173913,2.4782608695652186,7.0,24.0,3.0,8.0,0.8547238136906126,-0.8994274443404595,-1.4741833735344487,0.5874029939437257
7,Dallas Mavericks,2022-2023,75,35,8535,8541,-6,-0.08,38,21,40,0.4666666666666667,113.8,113.88,37,14,0.5526315789473685,0.3783783783783784,113.8,113.88,-0.0799999999999983,20.0,16.0,14.0,19.0,-0.22884644196241394,-0.1783945146157423,-0.15750534071937602,0.02988220097875826
7,Dallas Mavericks,2023-2024,36,20,4237,4229,8,0.2222222222222222,17,9,16,0.5555555555555556,117.69444444444444,117.47222222222223,19,11,0.5294117647058824,0.5789473684210527,117.69444444444443,117.47222222222223,0.22222222222220012,15.0,8.0,22.0,17.0,0.3338187776728588,0.505472387204987,0.41392716804294544,0.04922675599477906
7,Dallas Mavericks,2024-2025,75,35,8466,8506,-40,-0.5333333333333333,38,20,40,0.4666666666666667,112.88,113.41333333333333,37,15,0.5263157894736842,0.40540540540540543,112.88,113.41333333333333,-0.5333333333333314,18.5,14.0,22.0,16.0,-0.14814741776096313,0.2416853493490136,0.390519357775556,-0.08955913723733867
8,Denver Nuggets,2020-2021,78,48,8974,8690,284,3.641025641025641,39,26,30,0.6153846153846154,115.05128205128206,111.41025641025641,39,22,0.6666666666666666,0.5641025641025641,115.05128205128204,111.41025641025641,3.641025641025635,7.0,7.0,10.0,7.0,0.999110434078751,0.8287972665852642,-0.22604616768213717,0.8690886197720449
8,Denver Nuggets,2021-2022,80,47,8991,8806,185,2.3125,39,23,33,0.5875,112.3875,110.075,41,24,0.5897435897435898,0.5853658536585366,112.3875,110.075,2.3125,9.0,9.0,13.0,9.0,0.7009528882534923,0.7502913651549148,-0.05954948911853055,0.5526428372795824
8,Denver Nuggets,2022-2023,98,65,11293,10872,421,4.295918367346939,48,40,33,0.6632653061224489,115.23469387755102,110.93877551020408,50,25,0.8333333333333334,0.5,115.23469387755102,110.93877551020408,4.2959183673469425,2.0,12.0,5.0,3.0,1.4704673886787343,0.37038392743513887,-0.9555330270242617,1.1757085965658132
