game_id,date,datetime,season,status,period,time,postseason,home_team_score,visitor_team_score,home_team_id,home_team_conference,home_team_name,visitor_team_id,visitor_team_conference,visitor_team_name,point_diff,total_points,home_team_won,day_of_week,month,year,hour
857802,2022-12-18,,2022-2023,Final,4,Final,False,110,126,28,East,Toronto Raptors,10,West,Golden State Warriors,-16,236,0,Sunday,December,2022,
857808,2022-12-19,,2022-2023,Final,4,Final,False,105,124,11,West,Houston Rockets,27,West,San Antonio Spurs,-19,229,0,Monday,December,2022,
857817,2022-12-20,,2022-2023,Final,4,Final,False,105,91,8,West,Denver Nuggets,15,West,Memphis Grizzlies,14,196,1,Tuesday,December,2022,
857826,2022-12-21,,2022-2023,Final,4,Final,False,99,104,18,West,Minnesota Timberwolves,7,West,Dallas Mavericks,-5,203,0,Wednesday,December,2022,
857838,2022-12-23,,2022-2023,Final,4,Final,False,106,112,11,West,Houston Rockets,7,West,Dallas Mavericks,-6,218,0,Friday,December,2022,
857853,2022-12-26,,2022-2023,Final,4,Final,False,113,93,19,West,New Orleans Pelicans,12,East,Indiana Pacers,20,206,1,Monday,December,2022,
857864,2022-12-27,,2022-2023,Final,4,Final,False,130,114,21,West,Oklahoma City Thunder,27,West,San Antonio Spurs,16,244,1,Tuesday,December,2022,
857882,2022-12-29,,2022-2023,Final,4,Final,False,122,115,27,West,San Antonio Spurs,20,East,New York Knicks,7,237,1,Thursday,December,2022,
857891,2022-12-30,,2022-2023,Final,4,Final,False,126,125,26,West,Sacramento Kings,29,West,Utah Jazz,1,251,1,Friday,December,2022,
857886,2022-12-30,,2022-2023,Final,4,Final,False,123,114,17,East,Milwaukee Bucks,18,West,Minnesota Timberwolves,9,237,1,Friday,December,2022,
857890,2022-12-30,,2022-2023,Final,4,Final,False,100,119,22,East,Orlando Magic,30,East,Washington Wizards,-19,219,0,Friday,December,2022,
857892,2022-12-31,,2022-2023,Final,4,Final,False,131,130,12,East,Indiana Pacers,13,West,LA Clippers,1,261,1,Saturday,December,2022,
857907,2023-01-02,,2022-2023,Final,4,Final,False,106,111,11,West,Houston Rockets,7,West,Dallas Mavericks,-5,217,0,Monday,January,2023,
857924,2023-01-04,,2022-2023,Final,4,Final,False,119,108,19,West,New Orleans Pelicans,11,West,Houston Rockets,11,227,1,Wednesday,January,2023,
