player_id,first_name,last_name,position,height_feet,height_inches,height_total_inches,weight_pounds,jersey_number,college,country,draft_year,draft_round,draft_number,team_id,team_abbreviation,team_name,team_conference,team_division,full_name,position_standard
461,Dwyane,Wade,G,6.0,4.0,76.0,,,,,,,,16,MIA,Miami Heat,East,Southeast,Dwyane Wade,G
462,Moritz,Wagner,C,6.0,11.0,83.0,,,,,,,,22,ORL,Orlando Magic,East,Southeast,Moritz Wagner,C
463,Dion,Waiters,G,6.0,3.0,75.0,,,,,,,,6,CLE,Cleveland Cavaliers,East,Central,Dion Waiters,G
464,Lonnie,Walker IV,G,6.0,4.0,76.0,,,,,,,,23,PHI,Philadelphia 76ers,East,Atlantic,Lonnie Walker IV,G
465,Kemba,Walker,G,6.0,0.0,72.0,,,,,,,,7,DAL,Dallas Mavericks,West,Southwest,Kemba Walker,G
466,Tyrone,Wallace,G,6.0,5.0,77.0,,,,,,,,13,LAC,LA Clippers,West,Pacific,Tyrone Wallace,G
467,John,Wall,G,6.0,3.0,75.0,,,,,,,,13,LAC,LA Clippers,West,Pacific,John Wall,G
468,Brad,Wanamaker,G,6.0,3.0,75.0,,,,,,,,30,WAS,Washington Wizards,East,Southeast,Brad Wanamaker,G
469,T.J.,Warren,F,6.0,8.0,80.0,,,,,,,,20,NYK,New York Knicks,East,Atlantic,T.J. Warren,F
470,Yuta,Watanabe,G,6.0,9.0,81.0,,,,,,,,15,MEM,Memphis Grizzlies,West,Southwest,Yuta Watanabe,G
471,Thomas,Welsh,C,7.0,0.0,84.0,,,,,,,,8,DEN,Denver Nuggets,West,Northwest,Thomas Welsh,C
472,Russell,Westbrook,G,6.0,4.0,76.0,,,,,,,,8,DEN,Denver Nuggets,West,Northwest,Russell Westbrook,G
473,Derrick,White,G,6.0,4.0,76.0,,,,,,,,2,BOS,Boston Celtics,East,Atlantic,Derrick White,G
474,Hassan,Whiteside,C,7.0,0.0,84.0,,,,,,,,29,UTA,Utah Jazz,West,Northwest,Hassan Whiteside,C
